Paper Title,title,authors,school/organization_names,author_countries,conference,published_year,forensic_vs_anti
TLS key material identification and extraction in memory: Current state and future challenges,"```json
{
    ""title"": ""TLS key material identification and extraction in memory: Current state and future challenges""
}
```","```json
{
    ""authors"": ""Daniel Baier, Alexander Basse, Jan-Niclas Hilgert, Martin Lambertz""
}
```","```json
{
    ""school_names"": [""Fraunhofer FKIE"", ""University of Bonn""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
TLSkex: Harnessing virtual machine introspection for decrypting TLS communication,"```json
{
    ""title"": ""TLSkex: Harnessing virtual machine introspection for decrypting TLS communication""
}
```","```json
{
    ""authors"": ""Benjamin Taubmann, Christoph Fr €adrich, Dominik Dusold, Hans P. Reiser""
}
```","```json
{
    ""school_names"": [""University of Passau""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Toward a general collection methodology for Android devices Timothy Vidasa,*, Chengye Zhangb, Nicolas Christinb","```json
{
    ""title"": ""Toward a general collection methodology for Android devices""
}
```","```json
{
    ""authors"": ""Timothy Vidas, Chengye Zhang, Nicolas Christin""
}
```","```json
{
    ""school_names"": [
        ""Carnegie Mellon University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2011""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"aNational University ofSciencesandTechnology (NUST), SchoolofElectrical Engineering andComputer Science(SEECS), Islamabad, Pakistan bCollegeofTechnological Innovation, ZayedUniversity, Dubai,UnitedArabEmirates","```json
{
    ""title"": ""Towards a unified XAI-based framework for digital forensic investigations""
}
```","```json
{
    ""authors"": ""Zainab Khalid, Farkhund Iqbal, Benjamin C. M. Fung""
}
```","```json
{
    ""school_names"": [
        ""National University of Sciences and Technology (NUST), School of Electrical Engineering and Computer Science (SEECS), Islamabad, Pakistan"",
        ""College of Technological Innovation, Zayed University, Dubai, United Arab Emirates"",
        ""McGill University, Canada"",
        ""University of New South Wales (UNSW), Australia""
    ]
}
```","```json
{
    ""author_countries"": [""Pakistan"", ""United Arab Emirates"", ""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Towards exact and inexact approximate matching of executable binaries,"```json
{
    ""title"": ""Towards exact and inexact approximate matching of executable binaries""
}
```","```json
{
    ""authors"": ""Lorenz Liebler, Harald Baier""
}
```","```json
{
    ""school_names"": [
        ""University of Applied Sciences Darmstadt""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Towards generic memory forensic framework for programmable logic controllers*,**","```json
{
    ""title"": ""Towards generic memory forensic framework for programmable logic controllers*,**""
}
```","```json
{
    ""authors"": ""Rima Asmar Awada, Muhammad Haris Rais, Michael Rogers, Irfan Ahmed, Vincent Paquita""
}
```","```json
{
    ""school_names"": [
        ""Oak Ridge National Laboratory"",
        ""Tennessee Technological University"",
        ""Virginia Commonwealth University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Towards Open-Set Forensic Source Grouping on JPEG Header Information,"```json
{
    ""title"": ""Towards Open-Set Forensic Source Grouping on JPEG Header Information""
}
```","```json
{
    ""authors"": ""Patrick Mullan, Christian Riess, Felix C. Freiling""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Towards Sound Forensic Arguments: Structured Argumentation Applied to Digital Forensics Practice,"```json
{
    ""title"": ""Towards Sound Forensic Arguments: Structured Argumentation Applied to Digital Forensics Practice""
}
```","```json
{
    ""authors"": ""Virginia N.L. Franqueira, Graeme Horsman""
}
```","```json
{
    ""school_names"": [
        ""School of Computing, University of Kent"",
        ""School of Health & Life Sciences, Teesside University""
    ]
}
```","```json
{
    ""author_countries"": [""UK""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
TraceGen: User activity emulation for digital forensic test image generation,"```json
{
    ""title"": ""TraceGen: User activity emulation for digital forensic test image generation""
}
```","```json
{
    ""authors"": ""Xiaoyu Du, Christopher Hargreaves, John Sheppard, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""University of Oxford, United Kingdom"",
        ""Waterford Institute of Technology, Ireland""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland"", ""United Kingdom""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Treasure and tragedy in kmem_cache mining for live forensics investigation,"```json
{
    ""title"": ""Treasure and tragedy in kmem_cache mining for live forensics investigation""
}
```","```json
{
    ""authors"": ""Andrew Case, Lodovico Marziale, Cris Neckar, Golden G. Richard III""
}
```","```json
{
    ""school_names"": [
        ""Digital Forensics Solutions, LLC"",
        ""Neohapsis Inc."",
        ""University of New Orleans"",
        ""DePaul University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Tumblingdownthestairs:Exploiting atumbler ’sattempttohidewith ordinary-looking transactions usingwalletfingerprinting,"```json
{
    ""title"": ""Tumbling down the stairs: Exploiting a tumbler’s attempt to hide with ordinary-looking transactions using wallet fingerprinting""
}
```","```json
{
    ""authors"": ""Jan Zav¯rel, Michal Koutenský, Daniel Dolej ¯ska, Vladimír Veselý""
}
```","```json
{
    ""school_names"": [
        ""Brno University of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""Czech Republic""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Ubi est indicium? On forensic analysis of the UBI file system Matthias Deutschmann*, Harald Baier","```json
{
    ""title"": ""Ubi est indicium? On forensic analysis of the UBI file system""
}
```","```json
{
    ""authors"": ""Matthias Deutschmann, Harald Baier""
}
```","```json
{
    ""school_names"": [
        ""University of the Bundeswehr Munich""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Unicode search of dirty data, or: How I learned to stop worrying and love Unicode Technical Standard #18","```json
{
    ""title"": ""Unicode search of dirty data, or: How I learned to stop worrying and love Unicode Technical Standard #18""
}
```","```json
{
    ""authors"": ""Jon Stewart, Joel Uckelman""
}
```","```json
{
    ""school_names"": [""Lightbox Technologies, Inc."", ""Naval Postgraduate School""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2013""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Unifying Metadata-Based Storage Reconstruction and Carving with LAYR,"```json
{
    ""title"": ""Unifying Metadata-Based Storage Reconstruction and Carving with LAYR""
}
```","```json
{
    ""authors"": ""Janine Schneider, Hans-Peter Deifel, Stefan Milius, Felix C. Freiling""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Unmixing the mix: Patterns and challenges in Bitcoin mixer investigations Pascal Tippe*, Christoph Deckers","```json
{
    ""title"": ""Unmixing the mix: Patterns and challenges in Bitcoin mixer investigations""
}
```","```json
{
    ""authors"": ""Pascal Tippe, Christoph Deckers""
}
```","```json
{
    ""school_names"": [""FernUniversität in Hagen""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Using computed similarity of distinctive digital traces to evaluate non-obvious links and repetitions in cyber-investigations,"```json
{
    ""title"": ""Using computed similarity of distinctive digital traces to evaluate non-obvious links and repetitions in cyber-investigations""
}
```","```json
{
    ""authors"": ""Timothy Boll, Eoghan Casey""
}
```","```json
{
    ""school_names"": [
        ""University of Lausanne""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Using deep learning to detect social media ‘trolls ’ /C19Aine MacDermotta,*, Michal Motylinskia, Farkhund Iqbalb, Kellyann Stampa,","```json
{
    ""title"": ""Using deep learning to detect social media ‘trolls ’""
}
```","```json
{
    ""authors"": ""Aine MacDermott, Michal Motylinski, Farkhund Iqbal, Kellyann Stamp, Mohammed Hussain, Andrew Marrington""
}
```","```json
{
    ""school_names"": [
        ""School of Computer Science and Mathematics, Liverpool John Moores University"",
        ""Zayed University""
    ]
}
```","```json
{
    ""author_countries"": [""UK"", ""United Arab Emirates""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
Using JPEG quantization tables to identify imagery processed by software,"```json
{
    ""title"": ""Using JPEG quantization tables to identify imagery processed by software""
}
```","```json
{
    ""authors"": ""Jesse D. Kornblum""
}
```","```json
{
    ""school_names"": [""Defense Cyber Crime Institute"", ""ManTech International Corporation""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Using NLP techniques for ﬁle fragment classi ﬁcation Simran Fitzgerald, George Mathews, Colin Morris, Oles Zhulyn*","```json
{
    ""title"": ""Using NLP techniques for ﬁle fragment classi ﬁcation""
}
```","```json
{
    ""authors"": ""Simran Fitzgerald, George Mathews, Colin Morris, Oles Zhulyn""
}
```","```json
{
    ""school_names"": [""University of Toronto""]
}
```","```json
{
    ""author_countries"": [""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2012""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Using NTFS Cluster Allocation Behavior to Find the Location of User Data,"```json
{
    ""title"": ""Using NTFS Cluster Allocation Behavior to Find the Location of User Data""
}
```","```json
{
    ""authors"": ""Martin Karresand, Stefan Axelsson, Geir Olav Dyrkolbotn""
}
```","```json
{
    ""school_names"": [
        ""Norwegian University of Science and Technology (NTNU)"",
        ""Swedish Defence Research Agency (FOI)"",
        ""Halmstad University""
    ]
}
```","```json
{
    ""author_countries"": [""Norway"", ""Sweden""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Using purpose-built functions and block hashes to enable small block and sub-ﬁle forensics,"```json
{
    ""title"": ""Using purpose-built functions and block hashes to enable small block and sub-ﬁle forensics""
}
```","```json
{
    ""authors"": ""Simson L. Garfinkel, Alex Nelson, Douglas White, Vassil Roussev""
}
```","```json
{
    ""school_names"": [
        ""Naval Postgraduate School"",
        ""University of New Orleans""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"bFaculty of Informatics, Masaryk University, Botanicka 68a, 60200, Brno, Czech Republic article info","```json
{
    ""title"": ""Using relational graphs for exploratory analysis of network traf ﬁc data""
}
```","```json
{
    ""authors"": ""Milan Cermak, Tatiana Fritzov, Vít Rus, Denisa Sramkova""
}
```","```json
{
    ""school_names"": [
        ""Institute of Computer Science, Masaryk University"",
        ""Faculty of Informatics, Masaryk University""
    ]
}
```","```json
{
    ""author_countries"": [""Czech Republic""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Using shellbag information to reconstruct user activities5 Yuandong Zhu *, Pavel Gladyshev, Joshua James","```json
{
    ""title"": ""Using shellbag information to reconstruct user activities""
}
```","```json
{
    ""authors"": ""Yuandong Zhu, Pavel Gladyshev, Joshua James""
}
```","```json
{
    ""school_names"": [
        ""Centre for Cybercrime Investigation, University College Dublin""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Using the HFS Djournal for deleted ﬁle recovery Aaron Burghardt *, Adam J. Feldman","```json
{
    ""title"": ""Using the HFS Djournal for deleted ﬁle recovery""
}
```","```json
{
    ""authors"": ""Aaron Burghardt, Adam J. Feldman""
}
```","```json
{
    ""school_names"": [""Booz Allen Hamilton""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2008""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Using the object ID index as an investigative approach for NTFS ﬁle systems,"```json
{
    ""title"": ""Using the object ID index as an investigative approach for NTFS ﬁle systems""
}
```","```json
{
    ""authors"": ""Rune Nordvik, Fergus Toolan, Stefan Axelsson""
}
```","```json
{
    ""school_names"": [
        ""Norwegian University of Science and Technology"",
        ""Norwegian Police University College"",
        ""Halmstad University""
    ]
}
```","```json
{
    ""author_countries"": [""Norway"", ""Sweden""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Validation and veriﬁcation of computer forensic software toolsdSearching Function,"```json
{
    ""title"": ""Validation and veriﬁcation of computer forensic software toolsdSearching Function""
}
```","```json
{
    ""authors"": ""Yinghua Guo, Jill Slay, Jason Beckett""
}
```","```json
{
    ""school_names"": [
        ""University of South Australia""
    ]
}
```","```json
{
    ""author_countries"": [""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2009""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Full Paper Vec2UAge: Enhancing underage age estimation performance through,"```json
{
    ""title"": ""Vec2UAge: Enhancing underage age estimation performance through facial embeddings""
}
```","```json
{
    ""authors"": ""Felix Andaa, Edward Dixon, Elias Bou-Harb, Nhien-An Le-Khac, Mark Scanlon""
}
```","```json
{
    ""school_names"": [
        ""University College Dublin"",
        ""Intel Ireland"",
        ""The University of Texas at San Antonio""
    ]
}
```","```json
{
    ""author_countries"": [""Ireland"", ""Ireland"", ""USA""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"VIDE - Vault App Identi ﬁcation and Extraction System for iOS Devices Gokila Doraib,*, Sudhir Aggarwala, Neet Patela, Charisa Powella","```json
{
    ""title"": ""VIDE - Vault App Identification and Extraction System for iOS Devices""
}
```","```json
{
    ""authors"": ""Gokila Doraib, Sudhir Aggarwala, Neet Patela, Charisa Powella""
}
```","```json
{
    ""school_names"": [
        ""Florida State University"",
        ""Augusta University""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Video capturing device identification through block-based PRNU matching Jian Lia,b,*, Fei Wanga,b, Bin Maa,b,**, Chunpeng Wanga,b, Xiaoming Wua,b","```json
{
    ""title"": ""Video capturing device identification through block-based PRNU matching""
}
```","```json
{
    ""authors"": ""Jian Li, Fei Wang, Bin Ma, Chunpeng Wang, Xiaoming Wu""
}
```","```json
{
    ""school_names"": [
        ""Key Laboratory of Computing Power Network and Information Security, Ministry of Education"",
        ""Shandong Computer Science Center (National Supercomputer Center in Jinan)"",
        ""Qilu University of Technology (Shandong Academy of Sciences)"",
        ""Shandong Provincial Key Laboratory of Industrial Network and Information System Security"",
        ""Shandong Fundamental Research Center for Computer Science""
    ]
}
```","```json
{
    ""author_countries"": [""China""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Video source identification using machine learning: A case study of 16 instant messaging applications,"```json
{
    ""title"": ""Video source identification using machine learning: A case study of 16 instant messaging applications""
}
```","```json
{
    ""authors"": ""Hyomin Yang, Junho Kim, Jungheum Park""
}
```","```json
{
    ""school_names"": [""Korea University""]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS APAC""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Visualization in testing a volatile memory forensic tool Hajime Inoue *, Frank Adelstein, Robert A. Joyce","```json
{
    ""title"": ""Visualization in testing a volatile memory forensic tool""
}
```","```json
{
    ""authors"": ""Hajime Inoue, Frank Adelstein, Robert A. Joyce""
}
```","```json
{
    ""school_names"": [""ATC-NY"", ""University of New Mexico""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2011""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
VMI-PL: A monitoring language for virtual platforms using virtual machine introspection,"```json
{
    ""title"": ""VMI-PL: A monitoring language for virtual platforms using virtual machine introspection""
}
```","```json
{
    ""authors"": ""Florian Westphal, Stefan Axelsson, Christian Neuhaus, Andreas Polze""
}
```","```json
{
    ""school_names"": [
        ""Blekinge Institute of Technology, Sweden"",
        ""Hasso-Plattner-Institute, University of Potsdam, Germany""
    ]
}
```","```json
{
    ""author_countries"": [""Sweden"", ""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
volGPT: Evaluation on triaging ransomware process in memory forensics with Large Language Model,"```json
{
    ""title"": ""volGPT: Evaluation on triaging ransomware process in memory forensics with Large Language Model""
}
```","```json
{
    ""authors"": ""Dong Bin Oh, Donghyun Kim, Donghyun Kim, Huy Kang Kim""
}
```","```json
{
    ""school_names"": [
        ""Korea University"",
        ""Department of Cyber Security, Ajou University"",
        ""Department of Computer Science, Korea Military Academy""
    ]
}
```","```json
{
    ""author_countries"": [""South Korea""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"WARNE: A stalkerware evidence collection tool Philippe Mangeard*, Bhaskar Tejaswi, Mohammad Mannan, Amr Youssef","```json
{
    ""title"": ""WARNE: A stalkerware evidence collection tool""
}
```","```json
{
    ""authors"": ""Philippe Mangeard, Bhaskar Tejaswi, Mohammad Mannan, Amr Youssef""
}
```","```json
{
    ""school_names"": [""Concordia University""]
}
```","```json
{
    ""author_countries"": [""Canada""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Was the clock correct? Exploring timestamp interpretation through time anchors for digital forensic event reconstruction,"```json
{
    ""title"": ""Was the clock correct? Exploring timestamp interpretation through time anchors for digital forensic event reconstruction""
}
```","```json
{
    ""authors"": ""Céline Vanini, Christopher J. Hargreaves, Harm van Beek, Frank Breitinger""
}
```","```json
{
    ""school_names"": [
        ""University of Lausanne"",
        ""Department of Computer Science, University of Oxford"",
        ""Netherlands Forensic Institute (NFI)""
    ]
}
```","```json
{
    ""author_countries"": [""Switzerland"", ""United Kingdom"", ""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Welcome pwn: Almond smart home hub forensics Akshay Awasthia, Huw O.L. Reada,b,*, Konstantinos Xynosc,b, Iain Sutherlandb,d","```json
{
    ""title"": ""Welcome pwn: Almond smart home hub forensics""
}
```","```json
{
    ""authors"": ""Akshay Awasthia, Huw O.L. Read, Konstantinos Xynos, Iain Sutherland""
}
```","```json
{
    ""school_names"": [
        ""Norwich University"",
        ""Noroff University College"",
        ""DarkMatter LLC"",
        ""Edith Cowan University""
    ]
}
```","```json
{
    ""author_countries"": [""USA"", ""Norway"", ""United Arab Emirates"", ""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Well Played, Suspect! – Forensic examination of the handheld gaming console “Steam Deck ”","```json
{
    ""title"": ""Well Played, Suspect! – Forensic examination of the handheld gaming console “Steam Deck ”""
}
```","```json
{
    ""authors"": ""Maximilian Eichhorn, Janine Schneider, Gaston Pugliese""
}
```","```json
{
    ""school_names"": [""Friedrich-Alexander-University Erlangen-Nuremberg""]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2024""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
What do incident response practitioners need to know? A skillmap for the years ahead,"```json
{
    ""title"": ""What do incident response practitioners need to know? A skillmap for the years ahead""
}
```","```json
{
    ""authors"": ""Radek Hranick�, Frank Breitinger, Ondrej Rysav�, John Sheppard, Florin Schaedler, Holger Morgenstern, Simon Malik""
}
```","```json
{
    ""school_names"": [
        ""Brno University of Technology"",
        ""University of Liechtenstein"",
        ""Waterford Institute of Technology"",
        ""Albstadt-Sigmaringen University""
    ]
}
```","```json
{
    ""author_countries"": [""Czech Republic"", ""Liechtenstein"", ""Ireland"", ""Germany"", ""Switzerland""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""forensic_type"": ""Digital Forensic""
}
```"
When is logging sufficient? — Tracking event causality for improved forensic analysis and correlation,"```json
{
    ""title"": ""When is logging sufficient? — Tracking event causality for improved forensic analysis and correlation""
}
```","```json
{
    ""authors"": ""Johannes Olegård, Stefan Axelsson, Yuhong Li""
}
```","```json
{
    ""school_names"": [""Stockholm University""]
}
```","```json
{
    ""author_countries"": [""Sweden""]
}
```","```json
{
    ""conference"": ""DFRWS Europe""
}
```","```json
{
    ""year"": ""2025""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Who watches the watcher? Detecting hypervisor introspection from unprivileged guests,"```json
{
    ""title"": ""Who watches the watcher? Detecting hypervisor introspection from unprivileged guests""
}
```","```json
{
    ""authors"": ""Tomasz Tuzel, Mark Bridgman, Joshua Zepf, Tamas K. Lengyel, K.J. Temkin""
}
```","```json
{
    ""school_names"": [""Assured Information Security""]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Windows Memory Forensics: Detecting (Un)Intentionally Hidden Injected Code by Examining Page Table Entries,"```json
{
    ""title"": ""Windows Memory Forensics: Detecting (Un)Intentionally Hidden Injected Code by Examining Page Table Entries""
}
```","```json
{
    ""authors"": ""Frank Block, Andreas Dewald""
}
```","```json
{
    ""school_names"": [
        ""ERNW Research GmbH"",
        ""Friedrich-Alexander-University Erlangen-Nuremberg""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Windows memory forensics: Identi ﬁcation of (malicious) modi ﬁcations in memory-mapped image ﬁles,"```json
{
    ""title"": ""Windows memory forensics: Identi ﬁcation of (malicious) modi ﬁcations in memory-mapped image ﬁles""
}
```","```json
{
    ""authors"": ""Frank Block""
}
```","```json
{
    ""school_names"": [
        ""Friedrich-Alexander-University Erlangen-Nuremberg"",
        ""ERNW Research GmbH""
    ]
}
```","```json
{
    ""author_countries"": [""Germany""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Windows operating systems agnostic memory analysis James Okolica *, Gilbert L. Peterson","```json
{
    ""title"": ""Windows operating systems agnostic memory analysis""
}
```","```json
{
    ""authors"": ""James Okolica, Gilbert L. Peterson""
}
```","```json
{
    ""school_names"": [
        ""Air Force Institute of Technology""
    ]
}
```","```json
{
    ""author_countries"": [""USA""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2010""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
"Windows Surface RT tablet forensics Asif Iqbala,b,*, Hanan Al Obaidlia, Andrew Marringtonb,*, Andy Jonesc,d","```json
{
    ""title"": ""Windows Surface RT tablet forensics""
}
```","```json
{
    ""authors"": ""Asif Iqbal, Hanan Al Obaidli, Andrew Marrington, Andy Jones""
}
```","```json
{
    ""school_names"": [
        ""Athena Labs, Dubai, UAE"",
        ""Zayed University, Dubai, UAE"",
        ""Edith Cowan University, Australia"",
        ""University of South Australia, Australia""
    ]
}
```","```json
{
    ""author_countries"": [""UAE"", ""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2014""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
Wirespeed: Extending the AFF4 forensic container format for scalable acquisition and live analysis,"```json
{
    ""title"": ""Wirespeed: Extending the AFF4 forensic container format for scalable acquisition and live analysis""
}
```","```json
{
    ""authors"": ""Bradley L. Schatz""
}
```","```json
{
    ""school_names"": [""Schatz Forensic""]
}
```","```json
{
    ""author_countries"": [""USA"", ""Australia""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
XIRAF – XML-based indexing and querying for digital forensics,"```json
{
    ""title"": ""XIRAF – XML-based indexing and querying for digital forensics""
}
```","```json
{
    ""authors"": ""W. Alinka, R.A.F. Bhoedjanga, P.A. Boncz, A.P. de Vries""
}
```","```json
{
    ""school_names"": [
        ""Netherlands Forensic Institute (NFI)"",
        ""Centrum voor Wiskunde en Informatica (CWI)"",
        ""University of Twente"",
        ""Vrije Universiteit"",
        ""Technical University of Delft""
    ]
}
```","```json
{
    ""author_countries"": [""Netherlands""]
}
```","```json
{
    ""conference"": ""DFRWS USA""
}
```","```json
{
    ""year"": ""2006""
}
```","```json
{
    ""forensic_type"": ""Forensic""
}
```"
